DATAFLOW,REF_AREA,FREQ,MEASURE,ACTIVITY,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,ADJUSTMENT,CONVERSION_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DECIMALS
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),AUS,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2020,81320.9806384967,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),AUS,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2021,90725.7785080496,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),AUS,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2022,98695.8414837875,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2020,42651.6193788274,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2021,45381.2437433957,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2022,49487.8801997863,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),AUT,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2023,51827.9114782814,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2020,58390.9158145501,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2021,66313.4680604513,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2022,73221.3075972442,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),CAN,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2023,73192.4899542166,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),CHL,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2020,10343022.857946,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),COL,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2020,20269007.5868124,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),CRI,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2020,7143969.35836254,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),CRI,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2021,7813647.59806628,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),CZE,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2020,554964.21637815,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),CZE,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2021,600689.944147378,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),CZE,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2022,655221.48979625,A,0,,2
OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),DNK,A,GDPPOP,_T,XDC_PS,V,_Z,_Z,_Z,2020,399092.762358563,A,0,,2
